inn,name,year,statetask,targetgrant,investments,summ
5011006941, ГБСУ СОМО ЕПНИ, 2012,0.0,0.0,1.58096525E8,0.0
2404015006," КГАУ СО ""МАГАНСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ", 2012,4.3743E7,2.22677E7,7.93972E7,6.60107E7
5011005930, ГБСУСО МО КПНИ, 2012,6.4595508E7,1.35E7,6.464260174E7,7.8095508E7
7217004074," АСУСОН ТО ""ТАЛОВСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ", 2012,0.0,0.0,5.9772E7,0.0
5505013586," АСУСО ""ОМСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ", 2012,5.94051834E7,40000.0,2.408034E7,5.94451834E7
5003009280, ГБУ ПНИ № 5, 2012,7.270204E8,3.617970378E7,2.035519611E7,7.6320010378E8
1304068676," ГБСУ СОССЗН РМ ""БОЛЬШЕБЕРЕЗНИКОВСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ", 2012,0.0,0.0,1.73958E7,0.0
4428002056," ОГБУ ""СУСАНИНСКИЙ ПНИ", 2012,2.838182918E7,4029682.98,9999300.0,3.241151216E7
5015001479," ГБСУ СО МО ""ЗВЕНИГОРОДСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ", 2012,0.0,0.0,8103235.0,0.0
7725052136, ГБУ ПНИ № 16, 2012,3.579641E8,3.074959502E7,5787143.28,3.8871369502E8
5007008047, ГБУ ПНИ № 3, 2012,3.265527E8,1.600579908E7,5027841.0,3.4255849908E8
7728021231, ГБУ ПНИ № 20, 2012,3.2730635E8,3.436518555E7,4428800.0,3.6167153555E8
5077000796, ГБУ ПНИ № 2, 2012,4.096948E8,1.005639815E7,3911406.34,4.1975119815E8
2257002518," КГБСУСО ""МАМОНТОВСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ", 2012,4.31459E7,2918888.0,3120987.27,4.6064788E7
4818001900," ОГБУ ""ДЕМКИНСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ", 2012,1.97783E7,5900700.0,2150000.0,2.5679E7
7807018016," СПБ ГБСУ СО ""ПНИ № 7", 2012,1.870988E8,4945000.0,800000.0,1.920438E8
