inn,latitude,longitude
1824002079,57.189134,53.267698
1820001187,56.905042,51.580213
3617002099,51.193945,41.66521
5102007413,66.959793,30.347327
6707000888,53.756839,32.744877
2263003647,53.246784,83.977064
3103010221,50.591817,36.017349
3108002288,50.470661,35.68191
1831042435,56.958262,53.164248
3814006328,54.11081,102.180139
7409000919,56.183428,60.851177
6214003151,53.718093,40.051396
2242001279,54.088361,84.812497
8620013075,60.953021,76.891171
6002009190,56.09564,30.478589
5443106118,54.505999,82.445643
6204001420,54.966143,41.751431
3103010060,50.592218,36.026306
1301060421,54.802869,46.169974
5034082459,55.827302,38.983631
3713007597,57.345902,42.104891
1829007786,58.123799,52.694797
5015001479,55.713537,36.827657
3713002736,57.534125,42.813114
2631003279,44.601029,41.929576
3715003750,56.802967,41.118837
2428002246,56.133633,96.907306
2402000950,56.139346,90.671875
4208009056,55.514779,86.092848
2421000507,56.158471,91.39333
3217000805,52.810934,32.306598
5823002813,53.449253,44.57807
7123003597,54.420716,38.359221
4201003707,56.017553,86.067632
4236002430,54.614829,85.374887
7133002899,54.209133,36.344255
5725001219,52.927604,35.715785
6910005259,56.892969,37.359001
4223021266,53.894039,86.494512
7819017673,59.856402,30.005356
4808002711,52.485576,38.962485
3731025750,56.981768,40.963527
7819026974,59.869923,29.878128
8505002068,53.564552,103.714237
7130002918,53.81895,36.155097
7122000434,53.821406,36.143958
7820012542,59.711469,30.4125
6213003938,54.786295,39.505849
3214002667,53.215429,34.871584
3230002745,52.550108,33.635502
6204003586,55.063653,41.656578
6204001518,54.984904,41.757225
2281002808,52.97511,84.652947
7224012164,57.075664,65.077175
7217004074,56.149817,69.408411
7212002059,57.881995,69.126152
7207000070,56.633219,66.25943
4338001770,58.746387,49.451897
4317001900,56.524,50.698256
3719002450,57.460578,41.512254
4334002639,57.064385,50.238839
7135001820,53.434471,36.991581
4247004076,56.065846,85.618735
6944003891,56.534946,31.559846
3816006468,54.55712,100.578038
3525038401,59.213975,39.830617
4329002908,58.5516,49.851243
3838002058,55.666452,97.810419
4346021379,58.492054,49.397711
2901096799,64.675561,40.504803
7115004685,53.923053,38.787044
1609002077,56.149561,50.24104
3507001889,59.138436,40.015895
3838001696,55.840851,97.953421
3528008814,59.14721,37.956102
5003009434,55.58438,37.845205
5070000719,55.193782,38.738957
4303001297,58.893539,51.22969
6419001807,51.530671,44.811048
1651064447,55.423535,51.428424
1660013343,55.87641,49.206567
5505013586,54.959309,73.130051
1646006295,55.761517,52.076217
1648005032,55.865657,48.534529
6820034431,52.53377,41.433732
3623003630,51.236355,42.154711
2257002518,52.680204,81.582721
3816006098,54.081421,100.594747
4805001847,52.876171,39.535314
0411008863,50.310957,87.590888
3604008600,51.335741,42.163641
6018007054,58.158079,28.183447
3602002219,51.005801,39.975156
2454010998,58.316546,92.413511
6016003664,58.437391,29.732978
6404001508,52.278288,46.519122
3606002499,50.037428,40.227951
3608000225,50.708042,40.997322
3603003945,49.938962,40.554982
3625003561,51.805493,39.085788
3632001879,51.764041,40.48548
3619003041,50.830759,39.100906
1909010255,52.611659,90.076229
3620003582,50.52447,40.272085
3606002330,50.166093,40.388246
0213000904,55.483531,55.662094
4909057202,59.568164,150.808541
3608001130,50.646796,40.915153
3623002107,51.254893,42.459366
5717000268,53.301154,36.393205
6714005580,54.961915,32.06955
6014001975,57.626477,28.156974
6219003388,53.669027,39.597037
6018001824,57.965756,28.60464
2804003157,50.920038,128.429459
3304015607,55.665101,40.559959
6804008427,52.450354,41.467473
3652014330,50.983204,39.49118
2277004425,53.817302,83.569229
7404021390,55.197235,59.705079
7627010882,57.764164,39.680859
3111504048,50.4532,38.276675
3919000926,54.769897,22.504163
6220003512,54.211545,40.26798
5413103920,55.680966,84.416655
1827008150,56.489561,53.806804
5720006005,52.82836,35.864268
3924001562,54.969889,21.412099
3911001004,55.071664,21.928667
3922000517,54.858725,21.095776
2717004193,51.206107,136.646133
7450002949,55.289854,61.380734
5432106660,55.435769,83.240517
7444200276,53.446894,58.933058
5049006098,55.316436,39.829144
5073065270,55.580269,38.882876
2290001060,53.503032,82.669431
1828005715,57.08039,53.981679
3121000272,50.687434,36.258897
3230001004,52.576122,33.757952
2463032490,56.012385,92.76592
1306073512,54.371401,46.630989
6005003006,57.831169,29.98898
3228000934,52.329694,34.068805
2455013649,53.700458,91.694275
1911000864,54.333258,89.944483
2404014242,56.034405,93.112185
4202010055,54.421119,86.439858
4213002810,56.227124,87.780118
2406001560,56.169458,89.586935
3216004437,52.168475,31.997811
2410001361,56.703271,94.934938
2263005901,53.123615,84.031457
2441000992,55.491794,89.302484
2463034360,56.013462,92.7661
2435002141,56.53853,92.910262
2450003647,56.254802,95.702136
1808700358,56.971766,52.802191
3924002140,54.871015,21.664283
2256004706,50.953107,81.797185
7605009629,57.596754,39.843175
3627009424,50.173207,39.543291
2913003260,61.347336,46.418762
3625003554,51.899569,39.47731
2261002895,53.322028,82.992519
2277004792,53.731471,83.823039
2922002128,61.458149,44.073926
1304068676,54.173748,45.969641
4818001900,53.077036,39.907091
2921000978,64.414111,40.755846
2910002395,62.862372,42.68028
7610028874,58.033763,38.851642
4222003754,53.397564,87.2897
